"Sample";"Strain";"Field";"Country";"Organ";"Species";"Run";"Control"
"CTC1";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC10";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC11";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC12";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC13";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC14";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC15";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC16";"Blank";"Blank";"Blank";"Blank";"Blank";"run2";"Control sample"
"CTC2";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC3";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC4";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC5";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC6";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC7";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"CTC8";"Blank";"Blank";"Blank";"Blank";"Blank";"run2";"Control sample"
"CTC9";"Laboratory - Slab TC (Wolbachia -)";"Lab ";"France";"Whole";"Culex quinquefasciatus";"run2";"True sample"
"NP14";"Field - Guadeloupe";"Field";"Guadeloupe";"Ovary";"Aedes aegypti";"run3";"True sample"
"NP17";"Field - Guadeloupe";"Field";"Guadeloupe";"Ovary";"Aedes aegypti";"run3";"True sample"
"NP2";"Field - Guadeloupe";"Field";"Guadeloupe";"Ovary";"Culex quinquefasciatus";"run3";"True sample"
"NP20";"Field - Guadeloupe";"Field";"Guadeloupe";"Ovary";"Aedes aegypti";"run3";"True sample"
"NP27";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Culex quinquefasciatus";"run3";"True sample"
"NP29";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Culex quinquefasciatus";"run3";"True sample"
"NP30";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Culex quinquefasciatus";"run3";"True sample"
"NP34";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Culex quinquefasciatus";"run3";"True sample"
"NP35";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP36";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP37";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP38";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP39";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP40";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP41";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP42";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP43";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP44";"Field - Guadeloupe";"Field";"Guadeloupe";"Whole";"Aedes aegypti";"run3";"True sample"
"NP5";"Field - Guadeloupe";"Field";"Guadeloupe";"Ovary";"Culex quinquefasciatus";"run3";"True sample"
"NP8";"Field - Guadeloupe";"Field";"Guadeloupe";"Ovary";"Culex quinquefasciatus";"run3";"True sample"
"S100";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
"S101";"Blank";"Blank";"France";"Blank";"Blank";"run1";"Control sample"
"S102";"Field - Camping Europe";"Field";"France";"Ovary";"Culex pipiens";"run1";"True sample"
